time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
2022-12-29 8:20:46.6110,0.025,-0.442,-0.884,-0.48,-0.17,0.04,-0.33,-0.46,-0.32
2022-12-29 8:20:46.6210,-0.004,-0.438,-0.866,-0.34,-0.28,-0.12,-0.24,-0.49,-0.3
2022-12-29 8:20:46.6300,-0.048,-0.44,-0.849,0.03,-0.23,-0.32,-0.19,-0.56,-0.21
2022-12-29 8:20:46.6400,-0.086,-0.437,-0.853,0.41,-0.23,-0.38,-0.21,-0.62,-0.11
2022-12-29 8:20:46.6510,-0.095,-0.435,-0.874,0.58,-0.23,-0.22,-0.33,-0.69,-0.03
2022-12-29 8:20:46.6600,-0.07,-0.436,-0.891,0.36,-0.19,-0.04,-0.54,-0.69,0.02
2022-12-29 8:20:46.6700,-0.052,-0.44,-0.89,0.06,-0.1,-0.01,-0.78,-0.62,0.08
2022-12-29 8:20:46.6800,-0.043,-0.436,-0.876,-0.08,-0.01,-0.16,-0.95,-0.55,0.13
2022-12-29 8:20:46.6900,-0.034,-0.422,-0.878,-0.24,-0.04,-0.27,-1.05,-0.48,0.15
2022-12-29 8:20:46.7000,-0.034,-0.413,-0.889,-0.29,-0.04,-0.19,-1.08,-0.42,0.11
2022-12-29 8:20:46.7100,-0.023,-0.404,-0.884,-0.41,-0.06,-0.23,-1.02,-0.3,-0.02
2022-12-29 8:20:46.7200,-0.038,-0.399,-0.89,-0.39,-0.03,-0.27,-0.89,-0.13,-0.13
2022-12-29 8:20:46.7300,-0.063,-0.397,-0.91,-0.14,0.0,-0.13,-0.72,-0.02,-0.19
2022-12-29 8:20:46.7400,-0.079,-0.401,-0.918,0.07,0.07,-0.03,-0.52,0.05,-0.2
2022-12-29 8:20:46.7500,-0.085,-0.409,-0.919,0.18,0.17,0.0,-0.3,0.06,-0.18
2022-12-29 8:20:46.7600,-0.083,-0.414,-0.909,0.18,0.25,-0.07,-0.06,-0.0,-0.14
2022-12-29 8:20:46.7700,-0.084,-0.413,-0.903,0.17,0.25,-0.17,0.15,-0.03,-0.11
2022-12-29 8:20:46.7800,-0.091,-0.411,-0.919,0.23,0.21,-0.09,0.28,-0.01,-0.07
2022-12-29 8:20:46.7900,-0.095,-0.41,-0.953,0.29,0.17,0.21,0.29,0.01,-0.05
2022-12-29 8:20:46.8000,-0.09,-0.414,-0.963,0.28,0.16,0.46,0.23,-0.02,-0.06
2022-12-29 8:20:46.8100,-0.075,-0.421,-0.95,0.16,0.22,0.38,0.14,-0.03,-0.07
2022-12-29 8:20:46.8200,-0.063,-0.415,-0.937,0.02,0.21,0.25,0.04,-0.05,-0.09
2022-12-29 8:20:46.8300,-0.064,-0.4,-0.909,-0.01,0.09,0.07,-0.03,-0.07,-0.1
2022-12-29 8:20:46.8400,-0.066,-0.386,-0.872,0.01,-0.07,-0.32,-0.06,-0.04,-0.12
2022-12-29 8:20:46.8500,-0.067,-0.378,-0.873,0.02,-0.16,-0.48,-0.07,0.01,-0.13
2022-12-29 8:20:46.8600,-0.069,-0.374,-0.887,0.06,-0.2,-0.34,-0.07,0.06,-0.14
2022-12-29 8:20:46.8690,-0.068,-0.377,-0.888,0.06,-0.2,-0.28,-0.05,0.09,-0.13
2022-12-29 8:20:46.8800,-0.062,-0.379,-0.888,0.05,-0.16,-0.29,-0.03,0.09,-0.12
2022-12-29 8:20:46.8900,-0.064,-0.385,-0.891,0.02,-0.14,-0.28,-0.0,0.07,-0.09
2022-12-29 8:20:46.9000,-0.061,-0.386,-0.896,0.06,-0.07,-0.24,0.01,0.05,-0.05
2022-12-29 8:20:46.9100,-0.048,-0.38,-0.906,-0.06,-0.13,-0.16,0.0,0.04,-0.02
2022-12-29 8:20:46.9200,-0.042,-0.382,-0.912,-0.14,-0.15,-0.06,-0.01,0.05,-0.01
2022-12-29 8:20:46.9300,-0.042,-0.391,-0.914,-0.16,-0.07,-0.05,-0.01,0.04,-0.01
2022-12-29 8:20:46.9390,-0.041,-0.396,-0.919,-0.15,0.0,0.0,-0.01,0.04,-0.02
2022-12-29 8:20:46.9490,-0.041,-0.392,-0.921,-0.15,0.0,0.02,-0.01,0.04,-0.03
2022-12-29 8:20:46.9590,-0.041,-0.384,-0.925,-0.16,-0.08,0.06,-0.02,0.04,-0.04
2022-12-29 8:20:46.9700,-0.048,-0.385,-0.928,-0.1,-0.11,0.09,-0.01,0.02,-0.05
2022-12-29 8:20:46.9790,-0.05,-0.387,-0.932,-0.05,-0.07,0.13,-0.01,-0.01,-0.06
2022-12-29 8:20:46.9890,-0.049,-0.39,-0.925,-0.06,-0.06,0.11,-0.0,-0.01,-0.06
2022-12-29 8:20:46.9990,-0.048,-0.394,-0.914,-0.07,-0.02,-0.01,0.03,0.0,-0.04
2022-12-29 8:20:47.0090,-0.049,-0.396,-0.912,-0.06,0.01,-0.06,0.05,0.01,-0.02
2022-12-29 8:20:47.0190,-0.054,-0.396,-0.91,-0.03,0.01,-0.07,0.08,0.01,-0.0
2022-12-29 8:20:47.0290,-0.059,-0.396,-0.906,0.03,0.0,-0.1,0.11,0.01,0.02
2022-12-29 8:20:47.0390,-0.059,-0.394,-0.909,0.06,-0.02,-0.1,0.12,0.03,0.03
2022-12-29 8:20:47.0490,-0.05,-0.388,-0.924,0.0,-0.07,0.01,0.11,0.01,0.03
2022-12-29 8:20:47.0590,-0.049,-0.386,-0.93,-0.07,-0.13,0.14,0.09,-0.03,0.04
2022-12-29 8:20:47.0690,-0.05,-0.389,-0.924,-0.03,-0.11,0.11,0.07,-0.04,0.03
2022-12-29 8:20:47.0790,-0.044,-0.387,-0.916,-0.08,-0.11,0.03,0.07,-0.04,0.03
2022-12-29 8:20:47.0890,-0.041,-0.381,-0.91,-0.13,-0.16,-0.04,0.07,-0.03,0.01
2022-12-29 8:20:47.0990,-0.046,-0.378,-0.908,-0.12,-0.22,-0.06,0.08,-0.01,-0.0
2022-12-29 8:20:47.1090,-0.055,-0.383,-0.905,-0.03,-0.21,-0.09,0.09,-0.01,-0.01
2022-12-29 8:20:47.1190,-0.06,-0.39,-0.906,0.03,-0.14,-0.1,0.09,-0.01,-0.01
2022-12-29 8:20:47.1290,-0.065,-0.396,-0.911,0.07,-0.1,-0.05,0.08,-0.01,-0.01
2022-12-29 8:20:47.1390,-0.07,-0.398,-0.911,0.13,-0.05,-0.04,0.06,-0.02,0.0
2022-12-29 8:20:47.1490,-0.069,-0.398,-0.914,0.14,-0.07,-0.01,0.05,-0.04,0.01
2022-12-29 8:20:47.1590,-0.065,-0.4,-0.913,0.1,-0.05,0.0,0.03,-0.04,0.01
2022-12-29 8:20:47.1690,-0.063,-0.4,-0.91,0.08,-0.05,-0.03,0.03,-0.02,0.01
2022-12-29 8:20:47.1790,-0.06,-0.397,-0.904,0.06,-0.06,-0.07,0.04,0.01,0.01
